turns,white_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_shortname_cod,opening_variation_cod,rated_cod
53,1397,2,3,2,374,70,612,1
131,2273,1,1,2,19,103,612,1
65,1829,4,3,2,19,74,596,1
46,1400,2,3,2,104,127,87,0
111,1692,5,1,2,19,73,351,0
88,1353,4,3,0,377,94,1,1
61,1903,3,3,2,311,94,610,1
9,1513,4,3,0,374,90,322,0
31,1877,9,3,0,102,38,181,1
69,1783,4,1,2,377,109,612,1
45,1594,8,1,2,102,36,516,0
8,1631,2,3,0,19,32,0,1
17,1733,4,1,2,104,61,591,1
18,1515,2,3,0,19,79,612,0
122,1666,10,0,1,223,17,401,1
49,1963,6,3,2,19,31,407,1
30,2081,4,2,0,314,109,385,1
118,1474,5,3,0,19,52,612,1
39,1562,6,3,2,19,0,612,1
52,1348,6,3,0,19,109,0,1
22,1155,4,3,0,54,104,337,1
48,1076,5,1,0,316,38,181,0
17,1749,2,3,2,329,104,612,1
77,1920,5,1,2,361,17,181,1
33,2029,7,3,2,19,44,538,1
78,1257,5,1,0,117,98,612,0
59,1500,3,3,2,236,94,132,0
51,1666,2,3,2,19,33,41,1
56,1242,9,1,0,150,72,7,1
69,1631,4,3,0,19,109,612,1
66,1277,2,3,0,311,113,612,1
80,1271,6,1,0,102,87,249,1
53,1466,4,1,2,19,94,53,1
35,1480,10,3,2,109,109,362,1
106,1653,3,1,0,19,109,99,1
61,2022,5,3,2,315,55,612,1
38,1735,2,2,0,37,32,0,1
74,1650,4,3,0,295,109,385,1
48,1556,3,3,0,236,94,326,1
38,1731,3,1,0,361,38,377,1
52,1559,6,3,0,19,109,202,1
27,1591,3,2,2,321,10,612,1
116,1643,5,2,0,19,101,560,1
32,1801,5,3,0,19,29,435,1
6,1500,1,1,0,236,49,612,0
64,1173,4,1,0,350,38,612,1
86,1285,4,2,0,19,61,152,1
33,1691,8,3,2,41,106,137,1
38,1730,8,1,0,117,52,569,1
61,1461,4,3,2,19,104,337,1
55,1837,7,1,2,19,109,392,1
20,1787,6,3,0,315,110,1,1
92,1867,8,3,0,117,106,137,1
72,1629,8,3,0,19,109,9,1
125,1804,4,3,0,19,96,501,1
106,1730,4,1,0,31,109,385,1
49,1642,8,3,2,20,102,76,1
53,1839,5,1,2,108,17,18,1
47,1904,2,1,2,19,79,612,1
82,1698,4,3,2,19,17,612,1
127,1381,2,1,2,350,70,612,0
65,1950,2,0,1,21,97,612,0
97,1740,10,1,2,19,72,377,1
71,1849,2,1,2,248,33,274,1
36,1523,3,3,0,19,17,100,1
34,1554,2,3,0,361,38,0,1
36,1351,7,3,2,19,36,248,1
57,1288,4,1,2,19,61,591,1
41,1425,2,3,2,19,79,612,1
51,1718,4,1,2,19,45,612,1
45,1332,3,3,2,102,109,101,0
55,1874,9,3,2,19,101,356,0
89,1971,4,1,2,19,99,612,1
36,1954,10,3,2,102,102,181,1
15,1486,4,3,2,108,96,61,1
36,1690,3,3,2,104,94,326,1
62,1906,7,1,0,37,52,138,1
86,1613,3,1,0,19,109,530,1
54,1135,4,3,0,315,94,53,1
107,1712,7,2,2,187,106,612,0
80,1340,2,1,0,102,127,280,1
43,1566,2,3,2,361,33,274,1
63,1621,5,3,2,38,38,181,1
76,1529,2,3,0,19,17,612,1
33,1790,6,3,2,104,38,324,1
56,1627,6,0,1,102,55,612,1
102,1518,8,3,0,19,102,357,1
82,1673,2,2,0,19,0,612,1
40,1563,3,3,0,236,38,377,1
78,1593,6,2,0,19,40,612,1
57,2154,2,3,2,19,127,436,1
29,1457,3,3,2,315,61,299,1
115,1932,5,2,2,19,58,377,1
92,2232,8,3,0,295,52,211,1
71,1613,5,3,2,253,106,612,1
28,1211,3,1,0,102,23,612,0
45,1639,2,1,2,21,33,274,1
115,1015,4,1,2,311,109,139,0
27,2084,9,1,2,19,19,141,1
54,1709,2,1,0,348,48,612,1
39,1589,3,1,2,390,10,612,1
56,1552,2,3,0,19,33,43,1
10,1675,1,3,0,19,43,612,0
16,1455,5,3,2,108,38,20,1
109,1227,7,1,2,114,36,248,1
60,1614,5,1,0,19,94,309,1
141,1976,4,3,2,355,59,377,1
51,1714,6,3,2,19,104,314,1
102,1724,3,2,0,19,38,377,1
55,1870,3,3,2,261,17,233,1
131,1552,3,0,1,19,61,334,1
66,1806,5,3,0,350,106,612,0
26,1268,4,3,0,311,94,132,1
127,1451,4,3,0,187,109,612,1
23,1302,4,3,0,110,90,322,0
51,1428,3,2,2,19,109,530,1
30,1320,1,3,2,102,120,612,0
13,1653,4,3,2,311,59,377,0
47,1198,1,1,2,47,93,612,1
51,1909,10,3,2,19,17,552,1
118,1557,7,1,0,108,90,561,1
39,1500,4,1,2,19,35,510,1
32,1364,3,1,0,236,94,0,1
106,1905,5,3,0,311,109,381,1
31,1424,1,1,2,311,49,612,1
47,2287,2,3,2,311,48,612,1
52,1984,8,3,0,381,109,352,1
104,1669,4,3,0,248,109,385,1
35,2155,2,1,2,19,70,612,0
86,1746,5,2,0,19,50,309,1
90,1501,5,3,0,19,83,1,0
30,1359,2,3,0,102,69,612,0
79,1464,4,1,2,384,61,317,0
66,1591,3,3,0,43,61,591,1
122,1442,3,0,1,187,109,530,1
74,1769,2,1,0,311,33,216,1
37,1801,1,3,2,19,49,612,1
29,1525,6,3,2,19,83,310,1
44,1298,2,1,0,273,50,612,1
70,1375,6,3,0,19,102,535,1
18,1862,5,2,0,315,84,0,0
82,1609,2,3,0,19,33,22,0
88,1519,7,0,1,350,90,181,1
33,1457,6,3,2,19,109,381,1
56,1560,5,3,0,19,83,1,1
43,1796,8,1,2,19,109,390,1
19,1283,3,3,0,19,109,504,1
37,1584,7,1,2,102,36,484,1
68,1922,8,3,2,187,102,357,1
68,1871,9,3,0,107,72,470,1
132,1847,7,1,0,19,110,96,1
117,1993,8,2,2,108,72,441,1
55,1779,4,3,0,19,104,349,1
33,1201,5,3,0,374,109,381,1
41,1577,2,1,2,19,33,43,1
42,1442,1,3,2,356,9,612,0
19,1479,3,3,0,19,38,377,1
29,1913,8,3,2,19,84,137,1
49,1994,5,1,2,28,109,600,1
54,2189,6,3,0,110,72,612,1
80,1656,4,3,0,110,90,322,1
33,1988,2,3,2,19,127,432,1
33,1728,7,3,2,311,20,406,1
118,1713,3,3,0,327,94,326,1
7,1245,3,2,2,102,38,434,1
30,1227,2,1,0,19,104,612,1
50,2036,6,3,0,19,57,206,1
2,1765,1,3,2,380,73,612,1
28,1500,1,1,0,236,43,612,0
53,1825,2,1,2,19,38,0,1
61,1339,4,1,2,19,61,152,1
36,1350,6,3,0,19,102,83,0
33,1428,4,0,1,377,83,0,1
20,1500,2,3,0,298,104,612,0
85,1663,2,3,2,37,73,247,1
20,1512,8,1,0,19,106,137,1
43,1704,10,3,2,102,102,357,1
33,1612,9,3,2,374,38,18,1
30,1345,6,1,0,41,20,377,1
52,1681,3,3,2,311,61,363,1
24,1319,3,1,0,19,94,0,0
60,1492,4,1,0,19,109,385,1
112,1678,2,1,0,211,17,612,1
20,1845,6,3,0,41,55,612,1
38,1293,5,1,0,108,83,1,0
7,1230,3,1,2,352,17,233,1
128,1702,8,1,0,197,20,75,1
52,1453,4,3,0,19,90,322,1
52,1363,5,3,0,120,38,181,1
63,1667,4,1,2,19,17,612,1
81,1386,6,1,2,108,20,377,1
65,1722,4,1,2,19,104,337,1
120,1812,2,2,0,19,29,612,0
73,1897,8,3,2,37,17,258,1
55,1291,2,3,2,19,127,493,1
47,1334,4,3,2,117,50,172,1
83,1720,5,3,2,259,74,472,1
35,1500,3,3,2,19,94,0,0
85,1840,4,1,2,238,10,95,1
55,1167,4,3,2,362,61,80,1
39,1401,5,3,2,19,0,0,1
66,1536,7,1,0,21,38,18,0
59,1762,6,3,2,26,55,612,1
89,1268,6,3,2,19,40,612,1
55,1299,3,3,0,324,94,610,1
89,1547,3,3,0,19,109,28,1
58,1275,2,3,0,19,104,612,1
121,1121,2,1,2,108,84,2,1
42,1450,3,3,0,388,109,530,1
118,1453,3,3,2,19,127,450,1
57,1545,4,3,2,88,109,206,1
81,1747,6,0,1,21,102,148,0
52,2202,9,3,2,355,109,9,1
97,1951,5,3,2,19,110,181,0
131,1586,8,1,2,19,38,18,1
35,2264,9,1,2,19,109,256,0
55,1594,4,3,2,19,90,612,1
85,2213,8,3,2,19,104,348,1
51,1676,2,3,2,312,17,612,1
59,1730,6,1,2,19,109,0,1
78,1327,3,1,0,102,38,533,1
58,1289,1,1,0,360,121,612,1
133,1208,4,3,0,19,90,612,1
101,1912,3,3,2,19,38,282,1
147,1536,5,1,2,19,74,263,1
43,1604,7,3,2,19,106,612,1
30,1365,4,3,0,19,104,337,1
14,1387,10,3,0,102,106,345,1
74,1064,1,2,0,19,121,612,1
42,1538,9,3,0,104,44,561,1
34,1802,4,1,0,19,109,612,1
69,1527,6,3,2,19,83,2,1
53,1808,6,3,2,19,8,237,0
80,1693,3,1,0,19,0,254,1
39,1585,5,3,2,19,90,386,0
56,1669,2,1,0,19,48,612,1
126,1669,2,3,0,31,70,612,1
29,1596,7,3,2,359,52,569,1
17,1176,2,3,2,311,74,612,0
53,1789,5,3,2,360,118,136,1
20,1501,3,3,0,19,38,282,0
22,1873,7,3,2,107,90,561,1
63,1588,4,1,2,361,90,612,1
111,1466,3,3,2,102,33,274,1
94,1945,5,3,0,19,58,377,1
77,1476,2,1,2,311,33,22,1
63,1663,3,3,2,19,109,99,1
47,1703,4,3,2,229,127,584,1
18,1452,2,1,0,311,127,87,1
120,1857,8,2,0,19,109,9,1
37,2146,4,3,2,298,94,543,1
61,1820,7,3,2,19,110,561,1
42,1572,4,2,0,19,104,337,1
114,1424,7,3,0,187,52,569,1
7,1329,3,3,2,315,61,591,1
145,1936,10,1,2,104,104,137,1
47,1245,6,1,2,19,69,117,1
138,1650,4,2,0,19,61,330,1
113,1822,5,2,2,361,52,612,1
13,1291,4,3,2,187,61,591,1
17,1390,3,3,2,102,94,0,0
73,1951,5,3,2,19,90,386,0
43,1521,5,1,2,350,90,468,1
41,1202,1,3,0,161,93,612,0
57,2016,5,2,2,19,17,568,1
98,1557,4,0,1,225,10,76,1
42,1694,8,3,0,102,52,211,1
100,1289,5,0,1,187,83,612,1
67,1351,2,2,2,108,84,2,1
75,1300,4,1,2,350,61,110,0
42,1058,2,3,0,19,104,612,1
86,1853,2,1,0,19,48,612,1
60,1524,8,3,2,108,36,248,0
80,1615,1,3,0,199,121,612,1
41,1481,3,3,2,102,109,99,1
39,1365,5,3,2,19,17,18,0
32,1362,4,3,2,21,109,385,1
13,2192,6,3,2,82,87,249,0
73,1400,2,1,2,104,127,432,0
50,1526,2,1,0,311,109,612,1
72,1841,2,3,0,19,109,612,1
39,1372,2,1,2,19,127,432,1
67,1683,5,3,2,19,83,1,1
35,1662,6,3,2,19,55,612,1
34,1645,3,3,0,19,109,99,0
62,1828,5,3,0,19,109,382,1
59,1171,7,1,2,19,33,274,1
40,1502,2,3,0,19,33,22,1
88,1764,4,1,0,303,109,612,1
34,1621,7,3,0,108,84,55,0
15,1500,6,1,2,19,102,77,0
53,1659,4,3,2,215,99,612,1
39,1499,1,3,2,298,9,612,1
63,1945,2,2,2,19,17,612,1
52,1561,9,3,0,236,38,181,1
58,1268,1,3,0,102,121,612,0
47,1517,5,3,2,102,83,612,1
4,1533,1,1,0,19,9,612,1
65,1099,3,2,2,19,80,612,1
54,1430,6,0,1,19,104,314,0
18,1657,10,3,2,186,52,569,1
20,1290,5,3,2,19,38,571,0
7,2222,4,3,2,19,104,337,1
57,1514,6,1,2,19,55,612,1
121,1933,4,2,2,19,30,612,1
2,1324,2,3,2,315,74,612,1
23,1152,1,3,2,19,68,612,1
36,1565,5,3,0,19,17,18,1
73,1667,3,3,2,19,109,331,1
59,2060,7,3,2,311,17,18,1
57,1535,2,3,2,315,48,612,1
96,1549,5,3,0,37,116,612,0
56,1569,4,3,0,19,109,385,1
107,1412,5,1,2,356,38,181,0
34,1654,5,3,0,199,72,0,1
50,1746,5,2,0,102,84,0,1
49,1525,6,3,0,28,109,243,1
49,1654,4,1,2,102,109,385,1
122,1024,1,1,0,211,68,612,1
43,1436,4,3,2,19,96,501,1
20,1018,4,3,0,19,0,377,0
46,1645,3,1,0,19,109,141,1
40,1283,6,3,0,19,109,382,1
100,1357,4,3,0,315,109,385,1
70,2119,4,3,0,102,109,141,0
13,1286,2,3,2,19,48,612,0
37,1152,1,3,0,327,125,612,1
71,1738,9,3,2,248,102,181,1
57,1480,8,3,2,19,36,248,0
15,1485,2,3,2,311,109,612,1
37,2013,5,3,2,2,109,612,1
64,1500,2,2,0,19,33,216,0
11,1147,3,3,0,102,61,591,1
3,1708,2,3,2,102,34,612,0
45,1210,1,3,0,19,121,612,1
125,2088,2,1,2,19,33,274,1
30,1536,5,1,0,19,120,363,1
42,1500,2,1,0,102,50,612,0
49,1950,2,3,2,21,127,87,0
146,1732,5,3,0,19,74,263,0
49,2199,7,1,2,17,92,259,1
53,1253,5,1,2,108,84,0,0
26,1054,1,3,0,108,49,612,1
44,1169,1,3,0,2,112,612,0
64,1773,5,1,0,37,94,309,1
62,1328,2,3,2,121,84,2,1
87,1580,2,2,2,19,33,43,0
42,1562,2,3,0,84,50,612,0
80,1088,5,3,0,108,98,612,1
48,1562,1,3,0,84,1,612,0
15,1500,9,3,2,19,11,467,0
37,1329,6,1,2,19,102,148,1
44,1196,3,3,0,108,94,326,1
64,1303,10,1,0,350,102,142,1
76,1355,2,1,0,19,104,612,1
1,1431,1,3,2,19,60,612,1
43,1824,2,1,2,19,48,612,1
42,1333,3,3,2,56,17,233,1
40,1895,10,2,0,91,102,181,1
72,1365,2,1,0,203,73,348,1
40,1611,9,1,0,19,52,211,1
84,1508,3,3,0,19,94,326,1
97,2264,9,2,2,102,72,192,0
33,1575,4,1,2,390,10,76,1
22,1242,3,2,0,37,109,504,1
34,1244,2,1,0,315,104,612,1
14,1654,4,3,2,323,61,110,1
20,1175,1,1,0,372,125,612,1
58,2120,9,3,0,102,102,357,1
42,1145,7,3,0,315,36,516,1
107,1817,7,2,2,19,36,248,1
13,1688,3,3,2,311,109,612,1
100,1554,1,3,0,108,49,612,1
104,1654,4,3,0,187,94,1,1
116,1554,2,1,0,199,38,0,1
47,1800,5,3,2,315,83,1,1
74,1900,3,1,0,56,109,333,1
101,1819,5,3,2,21,38,181,1
70,1851,5,3,0,19,38,181,1
83,1905,5,1,2,19,94,540,1
46,1346,2,1,0,327,69,612,0
94,1916,5,1,0,19,109,157,1
43,2166,2,3,2,19,70,612,1
23,1419,4,3,2,152,61,317,1
113,1079,4,2,2,19,61,110,0
31,2167,9,3,2,19,55,612,1
81,1726,5,2,2,19,83,612,1
54,1656,8,3,0,19,109,408,1
45,1805,7,1,2,19,90,30,1
43,1747,4,3,2,104,110,612,1
53,1359,8,3,2,102,52,569,1
9,1393,6,1,2,187,101,153,1
76,1944,5,0,1,19,17,18,1
44,1134,9,1,0,108,52,211,0
67,1678,4,3,2,19,57,542,1
25,1453,7,3,2,19,102,181,1
4,1616,4,3,0,102,109,612,1
42,1002,2,1,0,350,48,612,1
51,1443,4,1,2,102,10,76,1
41,1500,5,3,2,102,43,521,0
133,2188,6,3,0,236,102,77,1
47,1738,4,1,2,236,90,322,0
99,1628,9,1,2,19,102,357,1
14,1492,5,3,0,19,33,120,1
93,1864,9,0,1,393,109,408,1
131,1892,2,2,2,361,48,612,1
51,1810,4,3,2,104,109,385,1
147,1536,5,1,2,19,74,263,1
44,1335,3,1,0,102,38,82,1
110,1679,7,3,0,312,106,612,1
5,1894,1,1,2,19,121,612,1
30,1414,8,3,0,19,83,293,1
39,1664,4,1,2,19,104,337,1
71,1500,1,1,2,315,121,612,0
56,2226,5,2,0,117,94,309,1
21,1228,3,1,2,182,61,591,1
2,981,2,3,0,315,94,612,1
90,1655,4,3,0,19,109,385,1
23,1559,3,1,2,19,109,530,1
76,2162,4,3,0,189,109,139,1
53,1523,2,3,2,19,84,2,0
42,1548,5,3,0,102,94,309,0
66,1882,3,3,0,311,33,543,1
71,1110,1,2,2,4,97,612,0
22,1978,6,3,0,312,104,403,0
94,1698,2,1,0,350,17,612,1
44,1336,6,3,0,19,104,314,1
82,1255,3,1,0,19,109,504,1
15,1413,2,3,2,19,48,612,1
55,1833,4,1,2,64,78,612,0
101,1127,3,2,2,19,61,591,1
82,1096,5,1,0,370,101,575,1
61,1830,8,2,2,55,106,479,0
54,1415,4,2,0,19,61,152,1
11,1301,7,3,2,238,36,484,1
21,1398,5,3,0,102,20,612,1
15,1560,2,1,2,102,69,612,1
79,2045,5,2,2,19,84,0,0
52,1500,2,1,0,325,94,612,0
20,1464,3,3,0,19,127,556,1
75,1386,6,1,2,241,102,148,1
90,1577,3,1,0,187,94,610,1
73,1480,4,3,2,298,59,377,1
110,1128,3,3,0,361,61,363,1
28,1519,9,3,2,102,26,612,0
67,2291,5,3,2,102,74,263,0
119,1651,3,3,2,315,88,612,1
51,1732,4,3,2,19,109,385,1
19,1426,9,1,2,19,52,137,1
39,1519,10,1,2,19,11,555,1
15,1445,8,3,2,19,36,516,1
44,1479,4,1,0,19,83,0,1
55,1676,5,3,2,19,52,612,1
89,1859,4,3,2,213,78,612,1
29,1821,9,3,2,19,58,377,1
19,1268,3,1,2,19,10,612,0
54,1259,3,3,0,361,38,282,0
103,1316,4,2,2,19,0,377,1
73,1411,3,3,2,78,38,377,1
49,1405,4,1,2,19,94,132,1
57,1553,4,3,2,311,83,0,1
39,1414,6,3,0,19,102,77,0
15,1809,7,3,2,26,106,612,1
64,1788,5,1,0,311,0,572,1
45,1429,5,3,2,361,74,263,1
76,1828,3,1,0,19,94,610,1
73,1265,4,3,0,102,31,612,0
90,1742,8,3,0,102,102,76,1
55,1533,4,3,0,19,104,337,1
86,2018,5,0,1,19,38,408,1
128,1776,2,2,0,379,79,612,0
43,1656,8,3,2,28,110,438,1
41,1884,3,3,2,103,38,236,1
135,1706,3,1,2,19,109,99,1
25,1420,3,3,2,236,74,612,0
36,1250,4,1,0,21,84,612,1
46,2120,6,2,0,311,38,548,1
61,1327,5,1,2,19,38,20,1
49,1377,4,1,2,368,104,337,0
88,1658,8,1,0,19,108,612,1
63,1544,4,1,2,19,90,30,1
52,2279,2,3,0,19,33,39,1
62,2082,6,3,2,361,90,252,1
32,1319,4,1,0,19,94,543,0
48,1559,3,3,0,19,33,274,1
120,1265,4,3,0,37,83,0,0
52,1003,4,1,0,108,82,612,0
28,1173,4,3,0,48,94,53,1
40,1068,2,1,0,19,50,612,1
80,1821,5,3,2,366,104,348,0
22,1615,3,3,0,19,38,291,1
32,1407,3,3,0,19,61,299,1
47,1759,8,3,2,315,106,137,1
144,2063,8,0,1,237,102,357,1
61,1439,3,1,2,187,94,610,1
73,1592,1,0,1,187,93,612,1
25,1708,2,3,0,102,109,612,0
53,1887,5,1,2,107,90,130,1
59,1607,3,3,2,19,33,274,1
30,1768,9,3,0,187,38,18,0
70,1531,1,2,0,19,43,612,1
72,1017,7,1,0,19,52,569,1
96,1602,6,3,0,19,55,612,1
57,1567,6,3,2,84,52,240,1
33,1563,5,3,2,26,90,386,1
20,1750,5,1,0,325,10,76,1
85,1314,3,3,0,28,94,326,0
10,1971,7,3,2,19,110,561,1
25,1667,2,3,2,102,48,612,1
26,1600,4,3,0,37,104,349,1
19,2045,3,2,2,19,38,377,0
35,1748,7,3,2,28,52,138,0
30,1500,3,3,2,236,109,504,0
52,1233,4,3,2,113,33,274,1
46,1500,6,1,0,182,33,274,0
43,1455,8,1,2,311,109,307,1
56,1605,1,1,0,19,121,612,1
77,1780,5,3,2,19,90,468,1
25,1886,5,3,0,108,94,540,1
85,1663,6,3,0,37,102,535,1
79,1302,2,1,2,187,127,432,1
58,2148,2,3,0,19,9,171,1
29,1572,7,1,2,19,106,612,1
73,1942,4,3,2,19,94,132,1
55,1858,5,3,2,361,58,5,1
6,1414,3,0,1,298,61,299,1
28,1808,6,3,2,102,52,47,0
93,2129,4,3,2,355,109,612,1
90,1221,2,1,0,19,33,43,1
97,1963,2,3,2,19,33,122,1
3,978,2,3,0,102,104,612,0
30,1462,3,3,0,19,20,0,1
66,1545,5,2,0,187,104,348,1
110,1841,3,3,0,108,109,99,1
61,1424,4,1,2,102,46,612,1
90,1474,5,0,1,114,74,472,0
147,1834,5,1,2,19,17,18,0
34,1642,2,1,0,121,94,612,1
88,1804,3,3,0,19,29,612,1
134,1369,5,1,0,237,122,333,1
41,1603,4,1,2,104,109,206,1
47,1612,4,3,2,19,61,330,1
29,1229,2,3,2,321,70,612,1
110,1784,4,1,0,19,109,385,1
64,1016,2,3,2,257,127,432,0
30,1218,1,3,0,379,121,612,1
113,1769,2,1,2,19,70,612,1
91,1828,3,0,1,102,74,612,0
23,1786,4,3,2,311,104,349,0
91,1649,10,1,2,248,26,612,1
47,1701,9,3,2,19,38,18,1
47,1841,10,3,0,102,109,255,1
53,1214,6,3,2,102,11,605,1
94,1701,4,3,2,54,94,534,1
73,1696,2,1,2,238,127,493,1
119,1942,8,1,2,19,90,581,1
23,1527,2,3,2,19,127,461,1
54,1262,1,3,0,360,121,612,1
78,1218,4,1,0,187,61,133,1
37,1866,1,3,2,19,93,612,1
45,1298,5,3,0,187,17,612,1
88,1869,8,1,0,311,83,181,1
59,1446,2,2,2,19,50,612,1
62,1748,1,3,0,19,49,612,1
62,1689,6,3,2,19,7,612,1
99,1856,3,1,2,314,38,533,0
97,1689,6,0,1,19,36,612,0
16,1413,5,3,0,356,106,612,0
66,1621,5,3,0,315,122,333,1
32,1916,5,1,0,102,101,575,1
57,1667,5,1,2,22,90,377,1
23,1572,3,3,2,19,10,612,1
98,1743,3,1,0,19,43,218,1
40,1540,3,3,2,19,109,504,1
71,1359,8,3,2,19,36,485,0
94,1575,4,3,0,19,61,330,1
27,1868,4,1,2,31,38,332,1
26,1431,1,1,0,19,68,612,1
116,1424,3,0,1,19,10,612,0
112,1865,7,3,0,102,94,578,1
22,1365,7,3,2,314,10,575,0
16,1334,2,3,0,324,104,612,1
53,1293,4,1,2,19,82,612,1
29,1340,1,3,0,19,121,612,1
91,1466,4,3,2,315,83,0,0
109,1417,8,0,1,102,102,76,1
55,1810,8,3,2,108,102,357,1
2,1921,2,2,0,3,94,612,1
52,1150,2,1,0,19,48,612,1
35,2221,2,1,2,37,48,612,1
66,1372,4,3,0,19,109,385,1
20,1485,3,3,0,19,61,299,1
51,1979,4,1,2,361,104,337,1
72,1403,2,1,0,117,61,612,1
47,1447,7,3,2,19,109,128,1
21,1951,8,3,2,19,106,481,1
10,1240,2,2,0,43,109,612,1
117,1184,4,1,2,32,94,543,1
26,1530,4,3,0,19,90,612,1
96,1733,4,0,1,19,109,206,1
37,1452,7,3,2,55,106,612,1
43,1718,4,3,2,19,94,132,1
107,1684,9,2,2,19,102,357,1
102,1561,1,2,0,298,93,612,1
66,2076,3,3,0,21,127,384,1
43,1686,6,3,2,19,52,47,1
12,1250,1,1,0,28,120,612,1
65,1177,4,3,2,48,61,152,1
50,1516,7,2,0,350,77,151,1
9,1601,4,3,2,102,10,112,1
47,1677,4,1,2,19,94,132,1
119,1545,9,1,2,19,52,84,1
46,1509,4,3,0,37,50,592,1
89,1682,2,1,2,356,48,612,1
124,1486,3,1,0,19,61,312,1
62,1243,3,3,0,19,109,530,1
7,1271,3,1,2,361,61,591,1
29,1612,8,1,2,104,102,181,1
4,1589,4,3,2,211,109,612,0
39,1506,5,3,2,236,106,612,1
53,1500,5,3,2,19,106,612,0
16,1570,4,1,0,102,90,612,1
24,1928,7,1,0,37,110,438,1
46,1421,9,1,0,187,102,357,1
1,1670,1,3,2,19,60,612,1
18,1459,4,3,2,214,10,76,1
33,1672,6,0,1,394,102,535,0
138,1315,7,3,0,19,36,484,1
98,1446,3,1,0,315,61,591,1
92,1442,1,2,0,19,103,612,1
63,2229,10,1,2,361,38,18,1
37,2222,5,1,2,19,17,319,1
10,1758,3,3,0,26,29,612,0
115,1445,5,1,2,108,58,5,1
78,1772,5,3,0,37,109,381,1
72,1570,5,3,0,19,90,435,1
2,1570,1,3,0,19,121,612,1
53,1554,1,3,2,200,93,612,1
40,1789,6,3,0,19,58,612,1
87,1434,7,3,2,103,36,516,1
42,1649,8,3,0,102,109,193,1
49,1607,2,3,2,43,76,612,1
51,1500,5,1,2,32,83,612,1
8,1866,6,3,2,236,84,1,1
70,1065,4,3,0,315,17,612,1
35,1859,5,3,2,19,109,503,1
132,1497,3,3,0,19,109,99,1
63,1636,1,1,2,102,3,612,1
44,1091,5,3,0,315,94,144,0
21,2225,10,3,2,311,26,612,1
40,955,2,1,0,108,48,612,1
69,1658,6,2,2,117,102,515,1
40,1523,5,1,0,19,116,612,1
122,1364,3,1,0,19,84,3,1
64,1588,2,3,0,220,70,612,1
67,1591,6,2,2,102,8,149,1
39,1495,4,1,2,19,90,322,1
15,1589,8,3,2,37,102,76,0
101,1076,3,2,2,19,61,299,0
103,1678,2,3,2,253,93,612,1
38,1794,7,3,2,102,92,259,1
51,1381,3,1,2,311,17,233,1
63,1320,1,2,2,102,86,612,1
86,1817,4,1,0,187,109,612,0
85,1403,2,1,2,329,0,612,1
55,945,5,3,2,211,74,263,1
94,1629,2,3,0,19,104,612,0
16,1107,3,3,0,236,61,591,1
41,1767,8,3,2,104,109,352,0
103,1466,4,2,2,19,90,30,0
42,1842,3,3,0,393,127,556,1
77,1451,2,3,2,37,70,612,1
14,1183,4,1,0,311,17,14,0
53,1544,2,3,2,368,70,612,1
17,1428,4,1,2,19,109,385,0
80,1275,2,3,0,315,33,543,1
39,1500,1,1,2,223,9,612,1
57,1433,2,3,0,104,33,543,1
69,1216,2,1,2,236,93,612,1
47,1824,2,1,2,315,70,612,1
64,1571,7,3,0,117,38,19,1
92,1820,6,3,0,104,90,375,0
52,1532,9,3,0,350,90,181,1
92,1139,4,1,0,19,94,543,1
45,1028,4,1,2,128,96,501,0
38,1079,4,2,0,311,94,286,0
63,1631,3,1,2,102,20,0,0
60,1133,6,3,0,108,40,612,1
28,1400,2,3,0,104,127,421,0
6,1959,5,3,2,19,17,568,1
66,2119,7,3,0,102,102,145,1
122,1807,2,1,0,102,109,612,1
30,1211,6,0,1,187,52,569,1
45,1500,3,3,2,104,127,556,0
63,1447,3,3,2,315,61,334,1
59,2064,6,3,2,238,52,47,1
43,1805,4,3,2,314,83,0,1
47,1342,3,3,2,205,94,610,0
55,1227,3,3,2,108,109,331,1
47,1755,4,3,2,19,55,612,1
68,1870,2,3,0,298,97,0,1
6,1217,6,2,0,28,36,612,1
133,1762,5,1,2,19,109,382,1
81,1782,7,3,2,119,36,248,1
27,2270,6,3,2,19,35,175,1
30,1528,3,3,0,110,94,326,0
53,1283,2,3,2,19,104,612,1
62,1985,8,3,0,19,83,181,1
80,1241,3,2,0,19,109,504,1
34,1412,4,3,0,102,109,612,1
68,1996,2,1,0,348,33,250,1
30,1367,1,2,0,315,53,612,0
93,1572,6,1,2,19,104,314,1
88,1401,3,0,1,19,109,331,1
39,2336,9,3,2,19,106,426,1
57,1857,5,3,2,104,94,144,1
53,2022,6,3,2,248,33,41,1
52,1224,6,3,0,211,83,227,1
58,1712,3,3,0,315,94,326,0
60,1692,2,3,0,311,9,171,1
59,1827,9,1,2,104,44,561,1
63,1445,5,3,2,102,106,612,1
133,1851,10,0,1,41,109,195,0
17,1545,2,3,2,311,127,280,1
58,1204,5,1,0,37,106,612,0
55,1335,2,3,2,19,104,612,1
120,1741,7,1,0,19,38,137,1
54,1145,2,3,2,108,104,612,1
51,1500,6,3,2,19,102,77,0
39,1971,4,1,2,19,104,337,1
76,1551,6,2,0,311,90,129,1
12,1807,3,3,0,19,43,218,1
76,1195,6,3,0,315,0,557,0
