turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,opening_shortname_cod,opening_variation_cod,rated_cod
49,1724,1958,5,2,2,361,39,48,8,74,1
50,2036,1706,6,3,0,19,8,586,57,206,1
59,1706,925,5,1,2,19,241,976,94,309,1
26,1244,1219,4,2,0,108,71,757,74,338,1
23,1215,921,5,1,2,108,201,462,52,612,1
118,1350,1201,5,1,0,108,74,1,0,0,1
66,1210,1280,4,1,0,108,98,1310,109,371,1
120,1139,1212,8,0,1,108,201,297,36,248,1
36,1220,1341,11,1,0,108,208,516,52,569,1
26,1234,1359,6,1,0,108,206,463,52,47,1
62,1275,1236,11,3,0,108,208,516,52,569,1
37,1433,1282,3,3,2,108,73,13,0,319,1
24,1132,1276,4,3,0,108,245,943,90,322,1
47,1276,1308,6,3,2,244,206,463,52,47,0
37,1228,1266,7,3,0,108,73,26,0,572,1
24,1273,1409,5,3,0,108,84,134,17,181,1
9,1338,1277,3,3,2,108,239,962,94,0,1
47,1263,1336,8,1,2,108,123,1290,109,352,1
85,1316,1273,2,1,2,108,19,247,33,274,1
39,1248,1253,2,1,2,108,71,407,42,612,1
58,1335,1233,6,1,0,108,319,704,72,612,1
95,1223,1189,11,1,2,108,208,516,52,569,1
2,1443,1204,2,3,0,108,73,0,0,612,1
97,1227,1216,4,1,2,108,245,943,90,322,1
12,1215,1219,5,0,1,108,201,462,52,612,1
30,1227,1227,8,3,2,108,201,297,36,248,1
43,1550,1225,8,1,2,19,312,100,13,181,1
11,1325,1234,2,3,2,108,73,0,0,612,1
72,1212,1221,5,1,0,108,73,20,0,469,1
156,1226,1478,3,1,0,108,191,635,59,612,1
18,1228,1626,4,3,0,211,264,874,90,612,1
77,1191,1228,7,1,2,28,163,340,38,137,0
32,1422,1210,5,3,0,236,73,25,0,572,1
35,1186,1223,5,3,2,108,179,1446,122,579,1
85,1212,1212,2,1,2,108,77,682,70,612,1
50,1228,1343,6,3,0,108,72,1145,104,403,1
111,1865,1862,5,3,2,21,42,1452,126,612,1
65,1852,1852,5,2,2,350,99,1314,109,381,1
73,1833,1863,4,3,2,102,51,44,8,612,1
125,1851,1918,4,3,2,102,96,1257,109,241,1
76,1861,1844,6,3,0,102,206,463,52,47,1
65,1853,1774,6,2,2,19,216,1039,102,77,1
41,1910,1862,11,1,2,19,144,1308,109,361,1
59,1851,1890,3,3,2,19,152,352,38,282,1
70,1860,1840,5,3,0,117,117,1224,109,156,1
34,1828,1848,5,3,2,219,118,1212,109,116,1
69,1855,1858,1,2,2,361,307,27,1,612,1
63,1847,1895,8,3,2,21,221,1093,102,357,1
107,1885,1856,4,3,2,21,117,1194,109,612,1
58,1847,1802,1,3,2,236,36,960,93,612,1
34,1847,1856,6,3,0,203,82,154,17,568,0
100,1840,1837,3,2,0,102,92,1202,109,28,1
80,1848,1806,4,3,0,311,108,1251,109,206,1
44,1860,1820,3,3,0,102,152,352,38,282,1
40,1854,1849,3,2,0,19,41,776,80,612,1
105,1895,1859,4,2,2,19,117,1194,109,612,1
50,1866,1965,6,3,0,102,100,1315,109,381,1
144,1866,1843,4,2,1,19,117,1194,109,612,0
81,1835,1866,11,3,0,19,88,127,17,137,0
69,1877,1860,6,3,0,102,212,1052,102,83,1
77,1849,1874,11,1,2,359,144,1297,109,362,1
158,1835,1865,6,1,0,325,311,98,12,0,1
107,1866,1835,7,0,1,117,206,522,52,569,1
117,1856,1829,12,1,2,102,227,1088,102,358,1
44,1845,1846,8,3,2,19,221,1093,102,357,1
40,1834,1835,4,3,0,102,99,1324,109,385,1
59,1846,1845,2,3,2,117,81,111,17,612,1
110,1845,1917,4,3,0,19,245,943,90,322,0
30,1858,1790,4,3,0,102,72,1141,104,337,1
54,1871,1847,4,3,0,19,99,1324,109,385,1
69,1846,1869,5,3,0,19,192,783,83,612,1
178,1843,1836,3,1,0,128,92,1202,109,28,1
136,1800,1826,2,3,0,102,90,1194,109,612,1
124,1283,1267,5,1,0,361,99,1314,109,381,0
96,1290,1270,1,3,0,34,0,434,49,612,1
53,1331,1281,4,2,2,54,239,963,94,1,1
39,1304,1292,1,1,2,19,0,1433,121,612,1
10,1305,1293,3,1,0,19,152,359,38,377,1
51,1308,1317,8,1,2,19,173,166,20,75,1
18,1296,1305,13,3,0,102,205,498,52,212,1
106,968,1305,8,1,0,236,201,297,36,248,0
38,1293,1466,5,1,0,108,192,785,83,1,0
59,1500,1299,7,1,2,350,219,1074,102,181,1
111,1288,1232,3,1,2,350,83,111,17,612,1
28,1289,2108,9,3,0,350,226,1105,102,357,1
101,1431,1289,6,2,2,350,173,172,20,377,0
15,1806,1289,7,1,2,350,196,1150,106,612,0
42,1289,1311,5,3,2,350,192,785,83,1,0
118,1431,1289,3,3,0,350,36,291,34,612,0
34,1289,1484,6,3,0,350,201,405,40,612,0
60,1289,1810,5,3,0,350,38,1258,109,242,0
66,1806,1289,5,3,0,350,195,1150,106,612,0
21,1289,1500,5,2,2,315,192,785,83,1,0
73,1409,1297,8,1,2,103,221,1092,102,357,1
159,1280,1485,6,1,2,103,206,463,52,47,1
74,1280,1211,4,3,2,102,72,1141,104,337,0
28,1211,1280,3,1,0,102,0,180,23,612,0
112,1281,1765,6,1,0,19,192,786,83,2,1
104,1288,1454,4,3,0,103,193,777,82,612,1
40,1560,1270,5,1,0,103,246,936,90,130,1
44,1274,1534,4,1,0,103,96,1260,109,251,1
150,1259,1663,6,0,1,103,206,463,52,47,1
60,1614,1238,5,1,0,19,241,976,94,309,1
37,1221,1417,11,1,2,19,154,319,38,18,1
88,1222,1732,7,2,0,19,101,1327,109,392,1
113,1232,1234,7,1,2,19,219,1074,102,181,1
55,1240,1219,8,1,2,203,193,1021,101,153,1
135,1590,1600,5,1,2,19,21,242,33,120,1
137,1568,1617,5,0,1,19,201,462,52,612,1
97,1500,1358,6,2,2,19,197,293,36,612,1
33,1384,1325,2,3,0,28,78,809,84,2,0
29,1384,1265,3,3,0,236,6,1462,127,384,0
55,1384,1950,2,3,0,180,4,1471,127,493,0
91,1377,1249,4,3,2,189,72,1141,104,337,1
53,1375,1389,4,3,2,379,171,662,61,591,1
49,1378,1361,5,1,2,28,192,783,83,612,1
48,1261,1371,4,1,0,28,78,652,61,317,1
20,1380,1429,4,3,0,42,99,1324,109,385,1
87,1369,1368,6,1,2,19,193,1020,101,153,1
11,1290,1371,9,3,2,19,226,1097,102,357,1
110,1372,1326,2,0,1,113,71,1404,113,612,1
24,1361,1383,1,3,2,326,0,1433,121,612,1
23,1217,1399,4,3,2,108,21,261,33,274,1
81,1387,1447,5,1,2,114,211,1036,102,612,1
34,1474,1387,2,3,0,187,72,1125,104,612,0
103,1377,1351,4,1,2,110,192,784,83,0,1
29,1389,1339,4,3,0,238,191,653,61,330,1
22,1389,1400,4,3,0,241,192,784,83,0,0
38,1849,1389,5,3,2,19,195,1150,106,612,0
46,1395,1378,9,1,0,361,201,494,52,211,1
23,1370,1257,6,2,2,311,212,1052,102,83,1
31,1360,1332,5,3,2,31,71,756,74,297,1
51,1311,1360,4,3,2,19,172,642,61,80,0
87,1714,1360,6,1,2,187,215,1054,102,137,0
31,1354,1217,5,1,2,293,201,462,52,612,1
38,1245,1346,5,3,0,108,258,868,90,386,1
43,1346,1099,6,3,2,34,206,463,52,47,0
105,1336,1287,4,3,2,386,7,587,57,266,1
87,1580,1555,2,2,2,19,10,238,33,43,0
36,1555,1580,6,1,0,19,108,1284,109,321,0
38,1649,1547,6,3,0,325,154,315,38,21,1
110,1426,1527,3,3,0,361,152,352,38,282,1
48,1557,1547,8,3,0,102,221,1092,102,357,1
95,1557,1607,5,1,2,315,319,705,72,0,0
70,1607,1557,1,1,0,315,2,61,9,612,0
42,1557,1632,7,3,2,19,101,1327,109,392,0
177,1535,1609,11,2,2,31,209,526,52,569,1
114,1713,1558,2,1,0,28,0,437,49,246,1
57,1497,1730,2,3,2,28,71,774,79,612,1
57,1437,1552,5,3,2,352,201,462,52,612,1
82,1516,1552,2,0,1,19,3,61,9,612,0
29,1513,1456,5,1,2,352,121,1194,109,612,1
70,1355,1478,7,3,0,19,206,522,52,569,1
97,1638,1614,6,1,2,19,206,463,52,47,1
99,1613,1934,11,3,2,324,83,142,17,319,1
74,1865,1613,5,3,0,19,242,982,94,564,0
48,1776,1587,2,1,0,361,239,961,94,612,1
77,1568,1593,6,1,2,102,162,357,38,324,1
80,1605,1546,6,3,0,102,72,1135,104,244,1
35,1518,1709,5,3,2,361,71,756,74,297,1
33,1728,1527,8,3,2,19,265,1188,108,379,1
87,1515,1379,4,1,2,19,72,1141,104,337,1
40,1538,1501,4,3,0,19,77,1010,99,612,1
54,1511,1516,4,3,0,19,264,874,90,612,1
67,1464,1495,9,3,0,19,220,1081,102,181,1
21,1470,1475,4,1,2,19,191,645,61,152,1
14,1490,1440,6,1,0,19,201,503,52,476,1
71,1611,1974,18,3,2,108,273,913,90,489,0
72,1611,1945,8,2,0,19,319,727,72,441,1
62,1584,1611,5,3,0,19,29,270,33,543,1
48,1942,1611,1,3,0,19,0,1433,121,612,1
6,1217,1611,6,2,0,28,197,293,36,612,1
69,1611,2059,12,0,1,187,277,1181,108,129,1
72,1611,1478,4,3,2,108,96,1337,109,439,1
40,1486,1552,5,1,0,108,195,646,61,168,1
29,1453,1496,2,1,2,108,77,682,70,612,1
44,1340,1326,2,3,2,108,36,214,32,0,1
59,1532,1500,3,1,2,19,152,371,38,533,1
115,1560,1557,6,3,2,19,185,550,55,612,1
70,1571,1577,2,3,0,19,3,62,9,171,1
36,1580,1617,2,3,0,19,3,61,9,612,1
83,1531,1593,7,3,2,19,197,295,36,223,1
99,1449,1597,9,0,1,19,199,299,36,442,1
43,1743,1604,6,3,2,19,185,564,55,612,1
89,1604,1614,8,3,2,19,199,305,36,516,1
96,1550,1605,3,3,0,19,239,977,94,326,1
116,1630,1605,8,1,0,19,193,781,82,3,0
78,1475,1605,1,1,0,102,0,434,49,612,0
77,1605,1475,1,1,2,102,2,61,9,612,0
